"","PROTID","10BT2_43_ADJNSAF","10NBT0_22_ADJNSAF","10NBT2_90_ADJNSAF","13BT2_71_ADJNSAF","13NBT0_112_ADJNSAF","13NBT2_101_ADJNSAF","20NBT0_73_ADJNSAF","20NBT2_123_ADJNSAF","21BT2_40_ADJNSAF","21NBT0_35_ADJNSAF","21NBT2_26_ADJNSAF","25NBT0_102_ADJNSAF","25NBT2_32_ADJNSAF","26BT2_127_ADJNSAF","26NBT0_81_ADJNSAF","26NBT2_49_ADJNSAF","28NBT0_120_ADJNSAF","28NBT2_24_ADJNSAF","55BT2_96_ADJNSAF","55NBT0_19_ADJNSAF","55NBT2_79_ADJNSAF","5BT2_110_ADJNSAF","5NBT0_39_ADJNSAF","5NBT2_66_ADJNSAF","66BT2_17_ADJNSAF","66NBT0_129_ADJNSAF","66NBT2_119_ADJNSAF","73BT2_21_ADJNSAF","73NBT0_91_ADJNSAF","73NBT2_108_ADJNSAF","74BT2_88_ADJNSAF","74NBT0_64_ADJNSAF","74NBT2_42_ADJNSAF"
"1","lcl|c122204_g1_i1|m.116",0,0,0,0,0,0,50.9476,60.5412,0,0,0,0,4.9424,0,0,0,10.2614,5.4044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","lcl|c167783_g1_i1|m.480",11.9677,26.6452,29.1754,11.9245,40.8557,0,0,13.7799,12.6145,27.044,0,0,13.4995,12.2412,0,12.8993,0,14.7612,14.5682,29.8069,13.0987,25.672,0,14.388,13.7095,0,0,25.0822,13.8541,39.7435,13.712,0,13.0041
"3","lcl|c210228_g3_i1|m.2141",5.1235,5.7036,6.2452,25.5253,17.491,22.4643,0,0,5.4005,23.1559,5.3756,5.6389,5.7793,0,0,0,5.9995,6.3195,12.4738,0,5.6077,5.4953,16.9794,6.1597,11.7385,0,11.3627,5.369,5.9312,0,5.8703,6.2995,0
"4","lcl|c232684_g7_i4|m.17671",15.3314,23.894,26.163,12.2209,17.4464,30.2495,19.4474,35.3061,6.464,17.3227,12.8685,16.8736,17.2938,15.6818,9.0737,13.22,28.724,15.1282,11.1978,7.6369,6.7121,3.2888,10.1617,3.6864,10.5377,29.7576,13.6005,0,3.5496,0,7.0264,15.0802,6.6637
"5","lcl|c232692_g3_i1|m.17680",0,0,0,0,10.6098,0,0,10.7355,0,0,0,10.2615,10.5171,0,0,0,10.9176,0,0,11.6108,10.2048,0,30.8985,0,10.6807,10.0538,0,19.5408,10.7933,41.2839,0,0,0
"6","lcl|c232716_g1_i2|m.17708",96.996,61.1872,70.9386,61.2093,66.2258,88.6005,71.7712,85.6244,57.9353,73.0625,61.0603,81.8438,43.7645,59.5277,47.8382,66.2132,75.7189,75.7704,62.9724,88.5792,70.7751,58.9525,57.1457,66.0803,100.0019,83.6733,86.0453,64.3744,74.8569,42.9486,122.2472,67.5799,52.6983
"7","lcl|c232732_g1_i2|m.17723",0,0,0,0,0,0,0,0,0,12.4962,0,12.1723,0,0,0,0,0,0,0,0,0,11.8622,0,26.593,12.6695,0,0,0,0,0,0,0,0
"8","lcl|c232736_g7_i11|m.17724",0,8.0055,8.7657,14.3308,0,23.648,7.6016,33.1212,7.58,0,7.5451,0,0,0,0,15.5023,25.2623,0,17.508,8.9554,7.871,0,23.832,17.2914,16.476,31.0179,15.9486,0,8.3249,0,16.479,0,7.8142
"9","lcl|c232737_g3_i2|m.17725",0,0,0,0,0,0,0,0,2.9865,0,5.9454,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9828,3.0552,9.4255,5.9382,0,0,3.2463,0,0
"10","lcl|c232744_g5_i2|m.17733",30.1544,12.2067,26.7317,27.3143,21.8363,12.0194,46.3635,44.1899,40.4528,52.6549,40.2662,30.1706,49.4751,25.2357,29.7442,20.683,25.6797,13.5248,23.359,44.3791,33.0042,35.2826,24.2259,26.3657,53.385,23.6478,30.3978,20.1087,25.3874,33.38,53.3949,60.669,35.7447
"11","lcl|c232745_g5_i1|m.17734",3.1662,0,1.9297,0,0,0,0,1.8228,0,0,1.661,0,0,0,0,1.7063,0,1.9526,0,1.9714,0,0,0,0,0,0,0,1.6589,0,0,1.8138,3.8929,0
"12","lcl|c232769_g4_i2|m.17751",0,1.8461,2.0215,1.6524,3.7743,0,0,3.819,1.748,1.8738,1.74,3.6504,1.8707,1.6963,6.5433,0,3.8838,0,8.0751,2.0652,1.8151,1.7787,1.832,3.9876,5.6993,5.3648,1.839,5.2136,5.7594,3.6716,1.9001,0,1.802
"13","lcl|c232783_g1_i1|m.17764",6.6267,14.7539,24.2325,19.8085,7.5409,14.5276,21.0145,15.2604,20.9547,14.9748,13.9054,21.8799,7.4749,13.5564,6.5366,7.1426,7.7596,16.3472,8.0667,16.5046,7.253,7.1075,14.6406,7.9669,45.5473,21.437,29.3929,13.8885,7.6713,7.3356,30.3704,32.5908,21.6019
"14","lcl|c210230_g1_i1|m.2146",0,0,8.536,0,7.969,0,0,0,0,7.9124,7.3474,7.7073,7.8993,0,0,0,0,0,8.5246,0,0,15.0221,15.4718,8.4192,8.0222,0,15.5307,14.6769,0,7.752,0,8.6102,7.6094
"15","lcl|c232791_g2_i3|m.17780",28.7912,28.8456,26.3207,63.1121,49.1442,42.6046,45.6508,61.3293,44.0037,29.2775,33.2281,44.3621,30.8525,67.7331,53.959,54.3069,26.9706,67.4724,14.019,16.1342,14.1804,44.7762,54.0678,43.2673,49.4723,38.8072,47.8888,46.7646,58.3266,36.6515,84.1185,65.4887,35.9774
"16","lcl|c232804_g4_i5|m.17788",0,5.931,0,0,6.0628,5.84,0,0,0,0,0,0,0,0,5.2553,0,0,13.1429,6.4855,0,0,0,5.8854,0,18.3097,5.745,17.7236,22.3324,0,5.8977,6.1044,0,5.7892
"17","lcl|c232813_g1_i6|m.17800",88.4782,73.8714,107.8485,132.2387,75.5127,0,245.5069,76.4072,69.9454,112.4658,46.4152,36.5168,74.8524,135.7505,109.0931,154.97,129.5054,95.49,67.3153,206.5923,108.9449,308.4183,109.9561,146.2614,139.3641,47.7034,73.5836,173.8459,128.0311,36.7285,63.359,258.3662,60.0881
"18","lcl|c232813_g3_i2|m.17801",6.6959,3.727,0,16.6794,0,3.6698,3.539,7.7098,3.5289,3.7828,7.0253,11.0541,7.553,6.8489,6.6048,3.6086,3.9203,0,8.1509,16.6769,10.993,21.5452,11.0951,0,26.8466,10.8304,11.1374,31.5753,11.627,7.4121,11.5078,4.1164,3.6379
"19","lcl|c232821_g1_i1|m.17807",0,0,2.7416,2.2411,0,2.4654,4.755,2.5898,0,2.5413,0,2.4754,0,0,2.2186,2.4243,0,0,0,2.8009,0,2.4124,0,5.4081,2.5765,0,0,0,0,0,0,5.5308,2.444
"20","lcl|c232828_g3_i1|m.17816",0,0,0,0,0,0,2.4113,5.2532,0,0,0,0,0,2.3333,4.5003,0,5.3423,0,0,0,0,0,2.5199,0,0,0,0,0,0,2.5252,0,2.8048,0
"21","lcl|c232834_g2_i9|m.17824",223.0266,141.8722,181.2354,158.7303,205.4512,128.0541,157.1678,171.1994,145.5267,143.996,189.4262,93.5088,143.7563,108.6304,607.5979,194.6007,124.3595,144.0932,297.3464,171.9322,151.1119,205.0361,140.7827,127.6815,352.8152,137.4237,176.6494,200.3257,159.8269,176.3453,413.7219,156.6947,196.1818
"22","lcl|c232842_g1_i1|m.17827",21.7692,0,8.845,21.6907,16.5148,7.954,15.3409,16.7105,0,0,7.6133,31.9453,8.1852,22.2668,21.4731,15.6426,25.4909,8.9503,8.8332,63.2553,7.9422,15.5658,8.0159,26.1718,8.3125,15.6493,24.1394,7.6041,58.8016,8.0326,24.9422,26.7657,7.8849
"23","lcl|c232847_g2_i2|m.17831",0,0,0,7.7946,8.9019,0,0,0,0,0,0,0,0,0,0,8.4318,0,0,0,19.4835,8.5621,8.3904,0,9.4048,8.9613,0,17.349,8.1976,0,0,8.963,19.2365,0
"24","lcl|c232847_g6_i1|m.17834",5.2579,11.7064,0,5.239,5.9832,11.5268,5.5579,0,5.5421,11.8816,11.0331,11.5736,11.8619,5.3781,5.1864,5.6673,6.1568,6.4853,0,13.0955,5.7548,5.6394,5.8082,12.6426,12.0464,0,0,11.0197,6.0867,0,6.0243,6.4647,0
"25","lcl|c210331_g2_i2|m.2158",14.2548,15.8687,17.3756,14.2034,8.1106,7.8126,7.5341,8.2067,22.538,16.1062,22.434,15.6887,8.0397,14.5806,28.1218,23.0468,8.3459,17.5823,8.6762,8.8758,15.602,15.2891,0,17.1377,32.6591,0,0,7.4689,24.7527,15.7796,32.6651,17.5266,23.2341
"26","lcl|c232853_g2_i4|m.17839",0,0,0,0,0,0,0,0,3.5363,3.7907,0,0,3.7844,0,3.3093,10.8484,0,0,0,0,3.672,3.5984,0,0,0,0,0,0,0,0,0,4.125,3.6455
"27","lcl|c232854_g3_i11|m.17840",22.0435,12.2696,33.5868,0,6.2711,0,5.8253,6.3454,23.235,24.9065,23.1278,6.0652,24.8651,11.2737,5.4359,11.8798,45.1711,20.3918,6.7084,13.7255,0,5.9107,12.1754,33.127,31.5648,11.8849,24.4436,5.7749,0,18.3011,0,27.103,35.929
"28","lcl|c232868_g2_i13|m.17849",0,0,0,0,0,0,0,0,0,0,0,0,0,9.5925,0,0,0,0,0,0,0,10.0586,0,0,0,0,0,0,10.8564,0,10.7451,11.5307,0
"29","lcl|c232944_g1_i1|m.17933",0,0,3.6066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6846,0,0,0,3.5572,0,0,0,0,0,3.2753,0,0,0
"30","lcl|c232949_g3_i7|m.17939",62.4805,127.5161,88.8524,72.6311,94.7995,91.316,99.0682,35.9709,109.7629,70.5954,65.5539,57.3045,58.7316,63.9085,92.4458,44.8964,85.3558,51.3768,38.0288,90.7754,45.5902,89.352,138.0402,50.0777,83.5033,157.2043,46.1888,54.562,72.3293,69.164,59.6562,166.4458,56.5765
"31","lcl|c232964_g4_i5|m.17974",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3298,0,0,0
"32","lcl|c232983_g2_i2|m.17991",16.364,25.5032,7.9786,22.8269,48.4154,14.3497,0,0,20.6981,11.0936,10.3013,25.214,47.9921,6.6952,6.4565,38.8033,7.6646,8.0735,23.9038,16.3025,0,45.6333,10.846,27.5427,22.4948,10.5872,0,13.7185,22.7321,50.7203,26.2487,52.3115,32.0061
"33","lcl|c232986_g1_i4|m.17993",0,0,0,0,0,0.6848,0,0,0,0,0,0,0,0.639,0,0,0.7315,0,0,0.778,0,0,0,0,0,0,0,0,0,0,0.7158,0,0
"34","lcl|c233001_g2_i4|m.18006",46.7088,179.1003,50.6085,82.7384,147.6448,56.8878,109.7195,41.8303,43.7631,70.367,38.116,119.95,111.2289,58.3932,122.8621,39.1572,133.6965,70.4145,82.129,135.7225,124.9674,66.7971,177.7249,87.3524,166.4661,179.0807,46.0394,70.7011,138.1824,68.9402,83.2484,108.4777,124.0655
"35","lcl|c233021_g5_i2|m.18047",0,0,0,0,0,0,3.4039,0,0,3.6385,0,3.5441,0,0,3.1764,0,3.7707,0,0,4.0102,3.5245,0,0,0,0,0,0,0,0,0,0,0,0
"36","lcl|c210338_g2_i1|m.2161",3.1914,5.329,3.8901,0,3.6316,5.2473,0,0,3.3639,3.6059,10.0451,7.0248,5.3998,0,0,3.4398,0,0,0,0,0,5.1344,0,1.9184,0,0,0,0,0,0,0,1.9619,1.7339
"37","lcl|c233033_g3_i4|m.18064",0,0,5.2831,12.9558,4.9321,0,4.5815,9.9811,4.5685,9.7943,4.5474,9.5404,4.889,4.4333,8.5505,4.6717,10.1504,5.346,0,0,4.7438,0,9.5758,20.8431,14.8952,4.6736,9.6123,9.0838,10.0349,9.5957,0,10.6581,4.7096
"38","lcl|c233042_g5_i1|m.18070",58.9584,65.6333,79.0525,70.4949,73.8007,77.5515,81.019,54.3091,55.9306,53.2926,12.3717,51.9111,33.2525,66.3364,69.7875,38.1289,27.6151,50.9046,35.885,58.737,96.7954,88.5307,52.1034,49.6174,67.5394,63.5753,52.3021,80.3185,61.4267,58.7386,33.776,57.9924,57.6581
"39","lcl|c233061_g7_i1|m.18094",14.4475,16.0831,0,0,16.4404,0,0,0,30.4567,16.3239,15.1581,0,0,14.7776,14.2509,31.1444,0,17.8199,0,0,0,30.9914,0,0,49.6506,0,0,30.2795,0,15.9929,16.5533,17.7634,0
"40","lcl|c233068_g2_i1|m.18098",28.6369,0,20.362,57.0673,19.0093,34.0057,0,24.73,0,21.5708,17.5266,0,13.4593,2.441,16.4776,0,19.5607,17.6608,17.4299,41.6054,23.5075,0,18.4533,28.6903,19.1362,10.2931,18.5236,12.5038,0,5.2834,13.6712,52.8145,12.9654
"41","lcl|c233068_g2_i3|m.18101",30.1158,41.9067,21.4136,37.509,0,35.7619,53.0569,26.0072,63.4873,22.6848,18.4317,49.7177,14.1544,48.7732,17.3286,51.3955,20.5709,18.5728,0,6.2506,0,78.0606,19.4063,0,20.1244,10.8247,19.4803,13.1495,72.6311,5.5562,14.3772,0,13.635
"42","lcl|c233135_g1_i3|m.18177",0,1.0126,0,0.9063,0,0.9971,0.9615,0,0.9588,2.0555,1.9087,1.0011,0,0.9304,0.8972,0,0,1.122,0,1.1328,0.9956,0,3.0145,2.1872,0,0,1.0087,0.9532,1.053,0,1.0422,0,0.9884
"43","lcl|c233142_g2_i1|m.18198",2.0429,0,0,4.071,6.9741,0,0,0,0,6.9246,0,4.4968,0,0,0,2.2019,2.3921,0,0,0,2.236,2.1911,0,4.9121,0,0,0,0,2.3649,2.2614,0,0,2.2198
"44","lcl|c233156_g1_i1|m.18213",106.3364,131.1725,150.6351,103.0893,107.9236,132.3101,121.5173,125.7478,133.2891,139.6305,123.6282,107.5435,90.7709,94.0685,79.376,102.2238,131.2461,148.8822,111.9509,107.3688,110.0946,86.3095,120.6408,127.8417,95.4751,102.2673,121.1008,165.6417,113.1171,108.1669,88.907,116.6084,81.1944
"45","lcl|c233181_g4_i3|m.18256",5.7479,140.7704,0,5.7272,19.6225,25.2019,0,19.8549,42.4102,25.9778,6.0306,25.3044,6.4836,23.5171,17.0091,18.5861,74.0362,0,6.9969,14.3158,18.8734,18.4949,0,27.6415,26.338,18.5941,12.7475,108.42,13.3079,0,26.3428,28.2687,12.4914
"46","lcl|c233212_g2_i5|m.18273",0,5.7588,0,0,0,0,5.4683,0,0,0,0,5.6935,5.8353,10.5827,10.2055,0,0,6.3807,0,6.4421,0,0,5.7146,12.4387,0,0,0,5.421,0,0,11.8543,0,5.6211
"47","lcl|c210341_g5_i1|m.2162",0,0,0,9.1832,0,0,0,0,0,0,0,5.0718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,0,0,0,0,0,0
"48","lcl|c233212_g2_i6|m.18275",9.3236,10.3792,5.6824,0,5.3049,5.11,9.8556,5.3678,0,0,0,0,5.2585,9.5367,4.5984,10.0495,0,0,0,5.8054,0,0,0,5.6046,5.3403,0,0,0,5.3967,0,0,11.4636,0
"49","lcl|c233217_g1_i2|m.18284",11.879,13.2239,0,0,27.0354,13.021,0,0,0,13.4218,0,0,0,0,0,0,0,14.6519,0,0,0,0,13.1223,0,0,0,0,12.4482,0,0,0,0,0
