GENE.ID,PROTEIN.ID
AGXT,m.20952
ATPeF1A,m.32679
BHMT,m.1453
CA,m.31195
Ca-BP,m.31973
Ca-BP,m.10914
Ca-BP,m.30976
Ca-BP,m.18699
Ca-BP,m.18614
Ca-BP,m.2980
Ca-CAM,m.18614
CALHM2,m.7373
COPG,m.21882
CPVL,m.9718
CVNH,m.24867
EGD1,m.17041
EGF1,m.3271
FUCA,m.25742
FUCA1,m.12736
GANAB,m.12736
HOMER,m.8726
ICL,m.30343
LEC,m.25330
LIP,m.19272
MACPF,m.24483
MFI2,m.20065
MNN2,m.1708
MRC1,m.20188
MUC4,m.29491
OTUB,m.15630
PDHa,m.12222
PSAP,m.13946
RAB11A,m.20588
RbsB,m.18321
LepB,m.15247
TKT,m.8236
TUBA,m.26508
URE,m.24102
GLYA,m.25706
ITGAM,m.7708
DBI,m.11996
PSD,m.26440
TPPP,m.21110
ITGAM,m.7708
