PROTID	m.ID	concat.id	KO.1	KO.GENE.1	DESCRIPTION.1	KO.EC.1	SCORE.KO.1	KO.2	KO.GENE.2	DESCRIPTION.2	SCORE.KO.2		KO.ALL	MET.PATH.1	MET.PATH.2	UNIPROT.ID	UNIPROT.DESC	Ca_BIND	GO.ONTOLOGY	BP.GO.ONTOLOGY
lcl|c11224_g1_i1|m.56	m.56	 elongation factor 1-alpha [EEF1A] (m.56)	K03231	EEF1A	 elongation factor 1-alpha		55						K03231	"RNA transport, Legionellosis, Leishmaniasis"		Q7YTV4	Elongation factor 1-alpha		GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]	
lcl|c122204_g1_i1|m.116	m.116	 non-hemolytic enterotoxin B/C* [nheBC] (m.116)					19	K11034	nheBC	 non-hemolytic enterotoxin B/C	6		K11034		Quorum sensing	A0A2B4SLM4	Uncharacterized protein		integral component of membrane [GO:0016021]; pathogenesis [GO:0009405]	pathogenesis [GO:0009405]
lcl|c129535_g1_i1|m.155	m.155	* [] (m.155)					81	K07052			1		K07052							
lcl|c141061_g1_i1|m.229	m.229	* [] (m.229)					13	K14800			1		K14800			A0A2B4SHU8	Uncharacterized protein			
lcl|c143056_g1_i1|m.250	m.250	* [] (m.250)																		
lcl|c145576_g1_i1|m.265	m.265	 small subunit ribosomal protein S15e [RP-S15e] (m.265)	K02958	RP-S15e	 small subunit ribosomal protein S15e		132						K02958	Ribosome		A0A2B4SZF0	40S ribosomal protein S15		small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]
lcl|c146176_g1_i1|m.280	m.280	* [] (m.280)					32	K17307			3		K17307			A0A2B4SFA2	Fibrillin-3		calcium ion binding [GO:0005509]	
lcl|c157954_g1_i1|m.378	m.378	integral component of membrane [GO:0016021]** [] (m.378)					114									A0A3M6TXU1	Uncharacterized protein		integral component of membrane [GO:0016021]	
lcl|c160676_g1_i1|m.404	m.404	 inosine triphosphate pyrophosphatase  [ITPA] (m.404)	K01519	ITPA	 inosine triphosphate pyrophosphatase 	[EC:3.6.1.-]	143						K01519	"Purine metabolism, Drug metabolism - other enzymes, Metabolic pathways"		A0A3M6UWL6	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)		cytoplasm [GO:0005737]; Mre11 complex [GO:0030870]; ATPase activity [GO:0016887]; metal ion binding [GO:0046872]; NADH pyrophosphatase activity [GO:0035529]; nucleoside-triphosphate diphosphatase activity [GO:0047429]; nucleotide binding [GO:0000166]; deoxyribonucleoside triphosphate catabolic process [GO:0009204]; DNA repair [GO:0006281]; nucleotide metabolic process [GO:0009117]; telomere maintenance [GO:0000723]	deoxyribonucleoside triphosphate catabolic process [GO:0009204]; DNA repair [GO:0006281]; nucleotide metabolic process [GO:0009117]; telomere maintenance [GO:0000723]
lcl|c162537_g1_i1|m.417	m.417	 neuregulin 4* [NRG4] (m.417)					1	K05458	NRG4	 neuregulin 4	1		K05458		"ErbB signaling pathway, Amyotrophic lateral sclerosis"	B7T147	EGF-like domain-containing protein			
