Protein,PROTEIN.ID,Len,X10BT2_43,X13BT2_71,X21BT2_40,X26BT2_127,X66BT2_17,X74BT2_88,X5BT2_110,X55BT2_96,X73BT2_21,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown,p.value,log.p.value,axes.LogFoldChange,axes.log.p.value,color.set,color.outline
lcl|c221524_g4_i1|m.7707,m.7707,325,3,1,0,1,0,2,0,45,0,2.401,6.4172,0,0,0.618572,1.39E-10,9.857599513,2.401,9.857599513,#94221F,#5A2731
lcl|c238740_g1_i1|m.24872,m.24872,1074,0,3,0,0,0,1,30,0,0,2.168,5.0588,0,0,0.619456,4.22E-07,6.3747873,2.168,6.3747873,#94221F,#5A2731
lcl|c235463_g4_i2|m.20952,m.20952,433,1,0,1,0,1,0,11,0,9,1.99,4.1783,0,0,0.621541,2.94E-05,4.532101823,1.99,4.532101823,#94221F,#5A2731
lcl|c238399_g3_i2|m.24483,m.24483,555,0,0,0,0,0,0,0,17,0,1.919,4.1679,0,0,0.621571,3.07E-05,4.512269665,1.919,4.512269665,#94221F,#5A2731
lcl|c214652_g1_i3|m.3567,m.3567,315,1,0,0,0,4,0,11,0,15,1.789,4.6282,0,0,0.620271,3.69E-06,5.433141136,1.789,5.433141136,#94221F,#5A2731
lcl|c221076_g3_i4|m.7373,m.7373,254,0,0,0,0,2,4,0,16,9,1.691,4.6542,0,0,0.620204,3.25E-06,5.487794718,1.691,5.487794718,#94221F,#5A2731
lcl|c205368_g1_i5|m.1453,m.1453,406,4,3,10,1,7,0,32,0,34,1.644,7.089,0,0,0.618167,1.35E-12,11.8693944,1.644,9.99999,#94221F,#5A2731
lcl|c226115_g1_i8|m.11228,m.11228,483,0,0,0,0,0,1,1,0,12,1.612,3.1739,0,0,0.625352,0.001504055,2.822736282,1.612,2.822736282,#94221F,#5A2731
lcl|c213886_g7_i2|m.3271,m.3271,1350,0,1,0,0,0,1,0,12,0,1.544,3.1757,0,0,0.625341,0.001494754,2.825430147,1.544,2.825430147,#94221F,#5A2731
lcl|c232116_g4_i2|m.17015,m.17015,281,0,0,2,1,3,2,3,4,15,1.522,3.8257,0,0,0.622581,0.000130401,3.884719026,1.522,3.884719026,#94221F,#5A2731
lcl|c238662_g3_i1|m.24774,m.24774,247,2,0,9,0,0,2,1,1,32,1.462,4.6117,0,0,0.620315,3.99E-06,5.398603763,1.462,5.398603763,#94221F,#5A2731
lcl|c234643_g1_i1|m.20065,m.20065,326,0,0,0,0,0,0,0,0,10,1.391,2.7419,0,0,0.628404,0.006108494,2.214065882,1.391,2.214065882,#94221F,#5A2731
lcl|c215662_g1_i2|m.4137,m.4137,304,5,1,1,0,1,4,6,1,18,1.365,3.758,0,0,0.622787,0.000171277,3.766301253,1.365,3.766301253,#94221F,#5A2731
lcl|c242920_g6_i2|m.30392,m.30392,237,0,1,1,0,0,0,8,0,2,1.35,2.5294,0,0,0.630131,0.011425773,1.942114415,1.35,1.942114415,#C25757,#5A2731
lcl|c229781_g4_i1|m.14624,m.14624,173,0,0,0,0,0,1,4,0,6,1.331,2.4914,0,0,0.630453,0.012724078,1.895373678,1.331,1.895373678,#C25757,#5A2731
lcl|c225867_g3_i1|m.11000,m.11000,208,1,0,0,0,1,2,3,1,8,1.286,2.5521,0,0,0.62994,0.010707578,1.970308748,1.286,1.970308748,#C25757,#5A2731
lcl|c240264_g4_i5|m.26985,m.26985,332,3,1,1,0,4,0,6,2,11,1.284,3.4961,0,0,0.623683,0.000472112,3.325955204,1.284,3.325955204,#94221F,#5A2731
lcl|c231085_g3_i1|m.15955,m.15955,220,11,3,1,0,3,1,2,30,3,1.276,4.4852,0,0,0.620664,7.28E-06,5.137596834,1.276,5.137596834,#94221F,#5A2731
lcl|c219184_g1_i2|m.6256,m.6256,101,0,1,0,2,0,3,10,0,5,1.249,3.148,0,0,0.625516,0.001643917,2.784120131,1.249,2.784120131,#94221F,#5A2731
lcl|c201157_g2_i3|m.1183,m.1183,490,1,0,0,0,1,1,1,0,8,1.236,2.3598,0,0,0.631607,0.01828479,1.737910026,1.236,1.737910026,#C25757,#5A2731
lcl|c222377_g6_i1|m.8283,m.8283,384,1,2,4,0,3,5,12,3,12,1.213,3.7953,0,0,0.622673,0.000147465,3.831310951,1.213,3.831310951,#94221F,#5A2731
lcl|c228309_g1_i6|m.13221,m.13221,556,9,6,13,8,15,13,45,5,49,1.141,6.8221,0,0,0.618341,8.97E-12,11.04711473,1.141,9.99999,#94221F,#5A2731
lcl|c239132_g4_i1|m.25330,m.25330,167,2,29,3,5,4,4,37,0,33,1.119,5.6044,0,0,0.619006,2.09E-08,7.679900265,1.119,7.679900265,#94221F,#5A2731
lcl|c238002_g5_i8|m.23981,m.23981,188,0,0,0,0,0,0,3,5,1,1.112,2.1986,0,0,0.633201,0.027906377,1.554296543,1.112,1.554296543,#C25757,#5A2731
lcl|c244488_g3_i1|m.32282,m.32282,431,1,5,0,1,1,2,14,0,0,1.083,2.5734,0,0,0.629763,0.010070474,1.99695007,1.083,1.99695007,#C25757,#5A2731
lcl|c232241_g6_i3|m.17173,m.17173,558,1,2,2,0,2,0,11,0,0,1.075,2.477,0,0,0.630576,0.01324919,1.877810665,1.075,1.877810665,#C25757,#5A2731
lcl|c230758_g1_i2|m.15597,m.15597,187,1,0,2,0,0,0,0,1,8,1.066,2.1023,0,0,0.634338,0.035527005,1.449441408,1.066,1.449441408,#C25757,#5A2731
lcl|c240761_g2_i10|m.27710,m.27710,930,29,11,16,12,21,11,55,6,82,1.047,7.8375,0,0,0.61758,4.60E-15,14.3376153,1.047,9.99999,#94221F,#5A2731
lcl|c233766_g4_i1|m.18988,m.18988,173,74,41,18,28,113,114,466,22,66,1.047,15.2576,0,0,0.616716,1.47E-52,51.83404461,1.047,9.99999,#94221F,#5A2731
lcl|c243397_g1_i1|m.30938,m.30938,286,22,0,13,3,5,3,0,10,55,1.035,5.3876,0,0,0.619165,7.14E-08,7.146272908,1.035,7.146272908,#94221F,#5A2731
lcl|c234955_g3_i8|m.20446,m.20446,499,24,25,15,5,10,12,3,103,23,1.033,7.6272,0,0,0.617766,2.40E-14,13.61995662,1.033,9.99999,#94221F,#5A2731
lcl|c229913_g3_i1|m.14763,m.14763,435,0,0,0,0,0,0,0,6,0,1.019,1.7369,0,0,0.640931,0.082404823,1.084047367,1.019,1.084047367,#E07F80,#5A2731
lcl|c234421_g4_i9|m.19827,m.19827,193,0,0,1,1,0,2,1,1,7,0.993,1.9984,0,0,0.635807,0.045673312,1.340337498,0.993,1.340337498,#C25757,#5A2731
lcl|c244364_g1_i1|m.32091,m.32091,127,8,15,13,1,9,2,31,4,28,0.945,4.7562,0,0,0.619958,1.97E-06,5.704936672,0.945,5.704936672,#94221F,#5A2731
lcl|c226009_g3_i5|m.11131,m.11131,932,3,5,3,1,2,1,11,0,7,0.942,2.7118,0,0,0.62864,0.006691896,2.174450845,0.942,2.174450845,#94221F,#5A2731
lcl|c222943_g1_i2|m.8726,m.8726,343,0,1,0,0,4,0,0,0,9,0.922,1.9898,0,0,0.635942,0.046612971,1.331493211,0.922,1.331493211,#C25757,#5A2731
lcl|c240904_g2_i1|m.27923,m.27923,208,1,2,0,0,0,0,1,3,5,0.91,1.7512,0,0,0.640599,0.079911465,1.097390905,0.91,1.097390905,#E07F80,#5A2731
lcl|c222543_g3_i2|m.8418,m.8418,235,1,0,0,46,0,0,0,0,61,0.897,4.9156,0,0,0.619651,8.85E-07,6.053002971,0.897,6.053002971,#94221F,#5A2731
lcl|c238754_g1_i3|m.24885,m.24885,176,0,2,0,2,3,10,4,0,18,0.884,2.7852,0,0,0.62807,0.005349472,2.271689113,0.884,2.271689113,#94221F,#5A2731
lcl|c217776_g2_i5|m.5358,m.5358,259,1,1,0,3,3,1,5,4,3,0.881,1.9359,0,0,0.63684,0.05287995,1.276708966,0.881,1.276708966,#E07F80,#5A2731
lcl|c223673_g2_i1|m.9297,m.9297,282,0,2,2,2,0,2,6,2,4,0.879,1.9968,0,0,0.635832,0.045846914,1.338689896,0.879,1.338689896,#C25757,#5A2731
lcl|c188047_g2_i2|m.760,m.760,688,1,2,0,1,1,1,4,0,3,0.877,1.6799,0,0,0.642304,0.092976774,1.031625527,0.877,1.031625527,#E07F80,#5A2731
lcl|c208387_g1_i1|m.1778,m.1778,453,2,1,0,0,0,1,5,0,2,0.873,1.6912,0,0,0.642026,0.090798611,1.041920795,0.873,1.041920795,#E07F80,#5A2731
lcl|c226933_g1_i6|m.11949,m.11949,462,0,0,0,1,0,0,0,5,0,0.871,1.612,0,0,0.644035,0.10696194,0.97077073,0.871,0.97077073,#FFFFFF,#5A2731
lcl|c224332_g10_i1|m.9746,m.9746,242,1,0,1,0,7,1,8,1,5,0.863,2.2366,0,0,0.632797,0.025312495,1.596665046,0.863,1.596665046,#C25757,#5A2731
lcl|c241763_g6_i2|m.28918,m.28918,445,6,0,1,0,2,1,2,0,11,0.848,2.0071,0,0,0.635673,0.044739016,1.34931357,0.848,1.34931357,#C25757,#5A2731
lcl|c163027_g1_i3|m.422,m.422,260,0,0,0,0,1,0,4,1,2,0.848,1.5371,0,0,0.646064,0.124268823,0.905637815,0.848,0.905637815,#FFFFFF,#5A2731
